"","SubletLease","Address","Locality","Bedrooms","Tenants","Floor","Rent","RentPerPerson","Utlities","From","Until","Gender","Comments","Longitude","Latitude","Distance","WalkingTime"
"1","Lease extension","5506 Fifth Avenue Apt 203A Pittsburgh 15232","Shadyside","2 (there are two 2BHK available)","2, 3","Second","1350 for two people; 1550 for three people.",675,"No",42583,42947,"male/female tenants","Bus stops (to CMU/downtown/squirrel hill) and CMU escort, shuttle stops at doorstep. Walkable distance to CMU and Giant Eagle, both are within a mile radius. ~3 minutes walk to Walnut Street (the most happening place in Shadyside – restaurants, bars, etc), nightlife and RiteAid (grocery shop)
Rent: includes ALL utilities except WiFi. Furniture: Apartment is carpeted and comes with gas-stove, fridge, oven and 4 closets. Coin-operated laundry service (washer/dryer) at the basement. Prompt response from Rockwel realty for maintenance requests.",-79.932114,40.448774,1.438,17.9666666666667
"2","Sublet","5540, Fifth Avenue, Apt #20, Pittsburgh PA 15232","Shadyside","2","3","First","1500",500,"No",42506,42551,"male/female tenants","DISHWASHER, OVEN MICROWAVE, AC",-79.9308269,40.448917,1.545,19.3
"3","Sublet","5210 beeler street","Squirrel Hill","1","1","Second","500/month",500,"No",42470,42582,"male/female tenants",NA,-79.9361231,40.4450968,0.813,9.8
"4","Sublet","5624 Fifth Ave., Apt C8, Pittsburgh PA","Shadyside","1","1","First","440 per head, All utilities included(except electricity and internet)",440,"Partial",42511,42582,"male tenants only",NA,-79.9296967,40.4494723,1.657,20.7
"5","Sublet","5440 Fifth Avenue ","Shadyside","1","1","First","$450 (Negotiable) + Electricity + Internet. The room is fully furnished. ",450,"Partial",42522,42582,"female tenants only",NA,-79.9329155,40.4487354,1.374,17.1833333333333
"6","Lease extension","6711 McPherson Blvd","Point Breeze North","1","1","First","420 plus utilities (70 ish)",420,"No",42583,NA,"male/female tenants","Right at 71D bus stop",-79.9099572,40.4556965,3.528,44.3
"7","Sublet","2715 Murray Ave, Apt 406 , Pittsburgh-15217, PA","Squirrel Hill","1","1","4","$450/month",450,"No",42520,42583,"male tenants only","Bus stop below the apartment,
Close by restaurants
2 miles to CMU
Semi furnished",-79.9242828,40.4283796,3.202,39.0833333333333
"8","Sublet","5509 Hobart Street Pittsburgh PA 15217","Squirrel Hill","1","1","First","400 per room, utilities included",400,"Yes",42504,42582,"male/female tenants","Walkable distance to bus stop, Scheneley Park and grocery stores and restaurants on Murray Avenue",-79.930027,40.43258,2.115,25.3333333333333
"9","Lease extension","5506, 5th Avenue, Pittsburgh -15232","Shadyside","2","2, 3","First","$1300 for 2 people (Includes all utilities, trash, heat, electricity taken care of by realtors)  
$1500 for 3 people (Includes all utilities, trash, heat, electricity taken care of by realtors)  ",650,"Yes",42522,NA,"male/female tenants","Equipped with Microwave, fridge, study desk, computer table, ceiling fans in each room (available in apartment). Very prompt maintenance and excellent realtors.  Currently occupied by 2 CMU students who may possibly leave behind mattresses and more furniture depending on dates of move in.

Parking available, in-building laundry unit. Walking distance from Walnut Street and centrally located in Shadyside. 

This location is amazing- 10 min walk to CMU and 15 min walk to Pitt, 15 min walk to Chatham, 30 seconds to a Port Authority bus stop and shuttle stop ",-79.932114,40.448774,1.438,17.9666666666667
"10","Sublet/Lease ","5506 Fifth Avenue, Pittsburgh, PA-15232","Shadyside","2","2, 3 also allowed. Rent would increase by $250","Third","Lease: $1300/month (For full house) all utilities included, you will pay only for internet. 
Sublet: $1300/month (For full house) all utilities included, you will pay only for rent - This is negotiable. ",650,"Yes",42501,NA,"male/female tenants","The apartment is for sublet as well as lease. The rent would increase for if 3 people want to share the place. It would increase by $250 (negotiable). 
The rent for lease is negotiable. The dates for lease/sublet are also negotiable.
The bus stop is right outside the house. 71A, 71B and all the shuttles to CMU stop at this bus stop. 15 minutes by walk to CMU. Very close to Walnut street and grocery stores. Amazing management. Please email for pictures.",-79.932114,40.448774,1.438,17.9666666666667
"11","Lease extension","5600 Fifth Ave, A312, Pittsburgh, PA- 15232","Shadyside","2","2, 3","Third","$1095 + utilities($55) for 2, $1400 + utilities for 3",550,"No",42496,NA,"male/female tenants",NA,-79.930357,40.449059,1.587,19.8166666666667
"12","Lease extension","5506 5th Avenue, Apt 210C, Pittsburgh PA 15232","Shadyside","2","2, 3","First","1550 in total (All utilities including Gas, Electricity and heat)",516.666666666667,"Yes",42510,42947,"male/female tenants","Leaving behind four study tables, 5 chairs, 1 dining table, 1 microwave, 2 coffee tables, 2 portable fans, 1 vaccuum cleaner, 1 bookshelf.",-79.932114,40.448774,1.438,17.9666666666667
"13","Sublet","5618 Beacon Street, Pittsburgh, PA 15217","Squirrel Hill","1","1","First","$338.5 for the room + utilities extra ",338.5,"No",42507,42582,"female tenants only","one minute walk to various bus stops to catch bus 61A/B/C/D. Very close to giant eagle and other eateries located on Murray Avenue.",-79.926753,40.433935,2.21,25.6666666666667
